Released_Year,Runtime,Genre,Meta_score,No_of_Votes,Gross,IMDB_Rating
1939,102,55,92.0,371379,2076020.0,8.0
1930,152,182,91.0,57318,3270000.0,8.0
1925,75,156,97.0,53054,50970.0,8.0
2019,130,95,82.0,454203,165359751.0,7.9
2018,121,122,93.0,62754,3313513.0,7.9
2019,137,105,94.0,246644,2000000.0,7.9
2017,132,172,93.0,212651,18095701.0,7.9
2016,100,137,78.0,53818,258168.0,7.9
2018,101,67,82.0,139114,32015231.0,7.9
2016,101,40,81.0,111483,5202582.0,7.9
2016,118,100,72.0,189400,5875006.0,7.9
2016,106,103,79.0,85109,3237118.0,7.9
2017,130,2,74.0,587775,315058289.0,7.9
2014,117,132,76.0,466134,32381218.0,7.9
2019,108,107,58.0,297918,349555.0,7.9
2016,116,176,81.0,594181,100546139.0,7.9
2015,138,11,80.0,860823,936662225.0,7.9
2013,109,172,94.0,141457,8114627.0,7.9
2014,132,11,75.0,659763,233921534.0,7.9
2011,157,122,82.0,41995,138730.0,7.9
2011,100,105,89.0,230624,44671682.0,7.9
2014,113,11,71.0,600004,100206256.0,7.9
2012,127,172,94.0,93090,6739492.0,7.9
2019,209,84,94.0,324720,7000000.0,7.9
2009,155,122,90.0,93560,2084637.0,7.9
2009,97,169,67.0,335152,5009677.0,7.9
2008,114,123,82.0,205609,2122065.0,7.9
2009,112,35,81.0,638202,115646235.0,7.9
2008,109,178,80.0,289415,26236603.0,7.9
2014,165,137,100.0,335533,25379975.0,7.9
2007,113,137,97.0,56625,1185783.0,7.9
2009,127,11,82.0,577336,257730019.0,7.9
2008,107,95,67.0,390334,7757130.0,7.9
2006,141,4,89.0,154011,13756082.0,7.9
2006,117,47,64.0,107290,2280348.0,7.9
2012,127,47,79.0,580708,124987023.0,7.9
2009,87,67,83.0,199696,21002919.0,7.9
2004,97,162,56.0,57430,3635164.0,7.9
2008,126,11,79.0,939644,318412101.0,7.9
2004,99,112,76.0,512249,13542874.0,7.9
2003,138,129,84.0,419420,90135191.0,7.9
2004,142,55,82.0,552493,249358727.0,7.9
2002,120,7,85.0,173999,53710019.0,7.9
2002,112,168,86.0,104691,9284265.0,7.9
2001,98,107,84.0,44618,1059830.0,7.9
2001,115,63,61.0,42897,1000045.0,7.9
2002,119,33,68.0,508771,121661683.0,7.9
2000,114,132,80.0,49721,1221261.0,7.9
2006,109,51,84.0,465113,35552383.0,7.9
2000,122,40,90.0,252586,32534850.0,7.9
2001,147,170,85.0,322031,7220243.0,7.9
1999,92,67,88.0,527512,245852179.0,7.9
1997,155,137,85.0,239473,26400640.0,7.9
1994,102,122,77.0,31590,2201126.0,7.9
1993,119,130,59.0,206918,12281500.0,7.9
1993,94,164,85.0,89836,1324974.0,7.9
1993,144,132,65.0,201000,36948322.0,7.9
1990,105,147,74.0,447368,56362352.0,7.9
1989,103,85,97.0,68076,14743391.0,7.9
1989,104,100,77.0,54670,18254702.0,7.9
1987,119,132,79.0,281842,76270454.0,7.9
1986,107,100,90.0,67176,40084041.0,7.9
1985,132,176,84.0,187567,9929135.0,7.9
1984,82,113,92.0,128812,188751.0,7.9
1983,93,108,77.0,132947,20605209.0,7.9
1980,133,2,60.0,183182,57229890.0,7.9
1979,96,105,83.0,131436,45700000.0,7.9
1979,123,163,72.0,28223,37823676.0,7.9
1978,127,8,71.0,111512,5100000.0,7.9
1976,138,87,84.0,103031,70600000.0,7.9
1973,114,47,76.0,37183,61001.0,7.9
1972,102,93,93.0,38737,198809.0,7.9
1970,172,92,91.0,93741,61700000.0,7.9
1969,145,14,97.0,77401,12064472.0,7.9
1968,96,196,89.0,116557,89029.0,7.9
1967,110,129,75.0,67804,24379978.0,7.9
1963,113,118,83.0,68689,13474588.0,7.9
1960,197,38,87.0,124339,30000000.0,7.9
1952,85,181,89.0,97222,9450000.0,7.9
1951,101,134,88.0,123341,7630000.0,7.9
1947,96,101,88.0,41625,2650000.0,7.9
1946,102,151,100.0,92306,10464000.0,7.9
1938,102,10,97.0,47175,3981000.0,7.9
1933,100,58,90.0,78991,10000000.0,7.9
2016,124,137,85.0,51240,2402067.0,7.8
2017,106,26,94.0,555092,188373161.0,7.8
2016,127,87,74.0,200876,169607287.0,7.8
2017,103,41,88.0,61594,40442052.0,7.8
2016,101,62,84.0,118035,48023088.0,7.8
2016,137,137,96.0,246963,47695120.0,7.8
2015,100,157,75.0,35539,435266.0,7.8
2016,133,11,65.0,556608,532177324.0,7.8
2016,147,11,75.0,663649,408084349.0,7.8
2015,168,129,68.0,517059,54117416.0,7.8
2019,135,172,91.0,143250,108101214.0,7.8
2017,94,71,62.0,50778,6735118.0,7.8
2013,130,167,85.0,45002,1330596.0,7.8
2013,141,137,86.0,81125,2852400.0,7.8
2013,104,172,76.0,50523,4231500.0,7.8
2014,102,62,74.0,410983,222527828.0,7.8
2013,123,102,55.0,303032,15322921.0,7.8
2013,126,72,83.0,73690,5209580.0,7.8
2019,100,67,84.0,203177,434038008.0,7.8
2013,131,129,49.0,108399,85433.0,7.8
